"sigma","method","intercept","slope","bias","rmse","mae","correlation","n_values","converged","iterations","estimated_sigma2"
0,"Poisson fSuSiE",0.0572508099936681,0.980335541906504,0.0403076803792873,0.0852612742769706,0.0688870426178445,0.994693965916612,12800,TRUE,67,0.00798485895482376
0,"fSuSiE on log1p counts",0.37928049360408,0.877840851946942,0.274026727179573,0.294730201340614,0.277984013148883,0.995277983633666,12800,NA,NA,NA
0.5,"Poisson fSuSiE",0.008449919917829,0.992363461404555,0.00187018796624163,0.107121286516197,0.0801199586283542,0.989200497796611,12800,TRUE,18,0.237568504676812
0.5,"fSuSiE on log1p counts",0.430261180227919,0.861088562443892,0.310573443081344,0.333741683428356,0.317254934623708,0.994043164767434,12800,NA,NA,NA
1,"Poisson fSuSiE",0.0331874426819988,0.973845755825804,0.0106526366424644,0.158011176178416,0.115439955990464,0.976456569086055,12800,TRUE,9,0.936349077249627
1,"fSuSiE on log1p counts",0.553375786031328,0.818979365110876,0.397406266545417,0.428448432970605,0.408688977338933,0.988513711804135,12800,NA,NA,NA
2,"Poisson fSuSiE",0.0734226117941593,0.935420076897499,0.0177797864283768,0.266701839169207,0.203185763612079,0.93324771442953,12800,TRUE,7,3.78322167098459
2,"fSuSiE on log1p counts",0.891862498037939,0.728177145403251,0.657656712367771,0.704153685097192,0.671389511889177,0.959446143299331,12800,NA,NA,NA
